Info 0    [19:49:48.575] Starting TS Server
Info 1    [19:49:48.575] Version: 4.8.3
Info 2    [19:49:48.576] Arguments: /usr/bin/node /home/hkateu/ScalaWork/portfolio/portfolio/node_modules/typescript/lib/tsserver.js --logFile /home/hkateu/ScalaWork/portfolio/portfolio/.log/tsserver.log --logVerbosity info --cancellationPipeName /tmp/3801a90fe2026c27213d6b7794a4203e/tscancellation*
Info 3    [19:49:48.576] Platform: linux NodeVersion: 18 CaseSensitive: true
Info 4    [19:49:48.576] ServerMode: undefined syntaxOnly: false hasUnknownServerMode: undefined
Info 5    [19:49:48.598] Format host information updated
Info 6    [19:49:48.607] Search path: /home/hkateu/ScalaWork/portfolio/portfolio/src
Info 7    [19:49:48.608] For info: /home/hkateu/ScalaWork/portfolio/portfolio/src/index.js :: No config files found.
Info 8    [19:49:48.613] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 9    [19:50:09.246] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 20631.845807000063ms
Info 10   [19:50:09.246] Project '/dev/null/inferredProject1*' (Inferred)
Info 11   [19:50:09.246] 	Files (178)

Info 12   [19:50:09.246] -----------------------------------------------
Info 13   [19:50:09.380] AutoImportProviderProject: found 9 root files in 9 dependencies in 130.70600600074977 ms
Info 14   [19:50:09.385] Starting updateGraphWorker: Project: /dev/null/autoImportProviderProject1*
Info 15   [19:50:11.465] Finishing updateGraphWorker: Project: /dev/null/autoImportProviderProject1* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 2079.7970360005274ms
Info 16   [19:50:11.465] Project '/dev/null/autoImportProviderProject1*' (AutoImportProvider)
Info 17   [19:50:11.465] 	Files (849)

Info 18   [19:50:11.465] -----------------------------------------------
Info 19   [19:50:12.308] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 20   [19:50:12.328] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: false structureIsReused:: Completely Elapsed: 19.781529000028968ms
Info 21   [19:50:12.328] Different program with same set of files
Info 22   [19:50:12.335] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 23   [19:50:12.343] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: false structureIsReused:: Completely Elapsed: 7.907664000056684ms
Info 24   [19:50:12.343] Different program with same set of files
Info 25   [19:50:12.535] getCompletionData: Get current token: 0.06237399950623512
Info 26   [19:50:12.535] getCompletionData: Is inside comment: 0.024440000765025616
Info 27   [19:50:12.535] getCompletionData: Get previous token: 0.10214000009000301
Info 28   [19:50:12.537] getCompletionsAtPosition: isCompletionListBlocker: 0.9351510005071759
Info 29   [19:50:12.545] getCompletionData: Get current token: 0.029248999431729317
Info 30   [19:50:12.545] getCompletionData: Is inside comment: 0.05369199998676777
Info 31   [19:50:12.545] getCompletionData: Get previous token: 0.09623199980705976
Info 32   [19:50:12.545] getCompletionsAtPosition: isCompletionListBlocker: 0.009472999721765518
Info 33   [19:50:12.571] getCompletionData: Get current token: 0.02829599939286709
Info 34   [19:50:12.571] getCompletionData: Is inside comment: 0.015759000554680824
Info 35   [19:50:12.571] getCompletionData: Get previous token: 0.09581699967384338
Info 36   [19:50:12.572] getCompletionsAtPosition: isCompletionListBlocker: 0.01834999956190586
Info 37   [19:50:12.598] getCompletionData: Get current token: 0.028353000059723854
Info 38   [19:50:12.598] getCompletionData: Is inside comment: 0.014952999539673328
Info 39   [19:50:12.599] getCompletionData: Get previous token: 0.3782130004838109
Info 40   [19:50:12.599] getCompletionsAtPosition: isCompletionListBlocker: 0.010301999747753143
Info 41   [19:50:12.625] getCompletionData: Get current token: 0.029699000529944897
Info 42   [19:50:12.625] getCompletionData: Is inside comment: 0.023093000054359436
Info 43   [19:50:12.625] getCompletionData: Get previous token: 0.08057999983429909
Info 44   [19:50:12.625] getCompletionsAtPosition: isCompletionListBlocker: 0.009393000043928623
Info 45   [19:50:12.652] getCompletionData: Get current token: 0.05782600026577711
Info 46   [19:50:12.652] getCompletionData: Is inside comment: 0.01591499987989664
Info 47   [19:50:12.652] getCompletionData: Get previous token: 0.062245000153779984
Info 48   [19:50:12.652] getCompletionsAtPosition: isCompletionListBlocker: 0.008582999929785728
Info 49   [19:50:12.678] getCompletionData: Get current token: 0.028046999126672745
Info 50   [19:50:12.678] getCompletionData: Is inside comment: 0.016042999923229218
Info 51   [19:50:12.678] getCompletionData: Get previous token: 0.07785999961197376
Info 52   [19:50:12.678] getCompletionsAtPosition: isCompletionListBlocker: 0.009851000271737576
Info 53   [19:50:12.704] getCompletionData: Get current token: 0.028279999271035194
Info 54   [19:50:12.704] getCompletionData: Is inside comment: 0.01551700010895729
Info 55   [19:50:12.704] getCompletionData: Get previous token: 0.04975000023841858
Info 56   [19:50:12.705] getCompletionsAtPosition: isCompletionListBlocker: 0.010029000230133533
Info 57   [19:50:15.291] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 58   [19:50:15.302] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: false structureIsReused:: Completely Elapsed: 11.076987000182271ms
Info 59   [19:50:15.303] Different program with same set of files
Info 60   [19:50:15.839] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 61   [19:50:15.851] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 5 structureChanged: false structureIsReused:: Completely Elapsed: 11.801688000559807ms
Info 62   [19:50:15.851] Different program with same set of files
Info 63   [19:50:28.001] Search path: /home/hkateu/ScalaWork/portfolio/portfolio/src
Info 64   [19:50:28.001] For info: /home/hkateu/ScalaWork/portfolio/portfolio/src/App.js :: No config files found.
Info 65   [19:50:49.460] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 66   [19:50:49.474] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 6 structureChanged: false structureIsReused:: Completely Elapsed: 13.771184000186622ms
Info 67   [19:50:49.474] Different program with same set of files
Info 68   [19:50:50.971] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 69   [19:50:50.983] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 7 structureChanged: false structureIsReused:: Completely Elapsed: 11.333460999652743ms
Info 70   [19:50:50.983] Different program with same set of files
Info 71   [19:50:50.984] getCompletionData: Get current token: 0.018376000225543976
Info 72   [19:50:50.984] getCompletionData: Is inside comment: 0.019239000044763088
Info 73   [19:50:50.984] getCompletionData: Get previous token: 0.040489000268280506
Info 74   [19:50:50.984] getCompletionsAtPosition: isCompletionListBlocker: 0.11373100057244301
Info 75   [19:50:50.989] getExportInfoMap: cache miss or empty; calculating new results
Info 76   [19:50:51.204] forEachExternalModuleToImportFrom autoImportProvider: 148.99506699945778
Info 77   [19:50:51.204] getExportInfoMap: done in 214.79773199930787 ms
Info 78   [19:50:51.255] collectAutoImports: resolved 52 module specifiers, plus 0 ambient and 209 from cache
Info 79   [19:50:51.255] collectAutoImports: response is complete
Info 80   [19:50:51.255] collectAutoImports: 50.47351900022477
Info 81   [19:50:51.255] getCompletionData: Semantic work: 271.11831600032747
Info 82   [19:50:51.295] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 39.07175499945879
Info 83   [19:50:51.301] getCompletionData: Get current token: 0.009341999888420105
Info 84   [19:50:51.301] getCompletionData: Is inside comment: 0.023864000104367733
Info 85   [19:50:51.301] getCompletionData: Get previous token: 0.016613999381661415
Info 86   [19:50:51.301] getCompletionsAtPosition: isCompletionListBlocker: 0.0131029998883605
Info 87   [19:50:51.308] getExportInfoMap: cache hit
Info 88   [19:50:51.328] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 261 from cache
Info 89   [19:50:51.328] collectAutoImports: response is complete
Info 90   [19:50:51.328] collectAutoImports: 20.252078999765217
Info 91   [19:50:51.328] getCompletionData: Semantic work: 27.416373999789357
